date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,2.6,2.6,2.5,2.6,2100
2021-01-05,1609804800,2.5,2.6,2.5,2.6,200
2021-01-06,1609891200,2.5,2.5,2.5,2.5,100
2021-01-07,1609977600,2.7,2.7,2.5,2.5,300
2021-01-08,1610064000,2.5,2.5,2.5,2.5,0
2021-01-11,1610323200,2.5,2.5,2.5,2.5,0
2021-01-12,1610409600,2.5,2.5,2.5,2.5,0
2021-01-13,1610496000,2.5,2.5,2.5,2.5,0
2021-01-14,1610582400,2.7,2.7,2.7,2.7,1200
2021-01-15,1610668800,2.7,2.7,2.7,2.7,1000
2021-01-18,1610928000,2.7,2.7,2.7,2.7,600
2021-01-19,1611014400,2.9,2.9,2.8,2.8,6200
2021-01-20,1611100800,2.9,2.9,2.9,2.9,199
2021-01-21,1611187200,3.1,3.1,3.1,3.1,300
2021-01-22,1611273600,3.4,3.4,3.4,3.4,700
2021-01-25,1611532800,3.4,3.4,3.1,3.1,13110
2021-01-26,1611619200,3.1,3.1,3.1,3.1,0
2021-01-27,1611705600,3.1,3.1,3.1,3.1,100
2021-01-28,1611792000,3.1,3.1,3.1,3.1,0
2021-01-29,1611878400,3.1,3.1,3.1,3.1,0
2021-02-01,1612137600,3.1,3.1,3.1,3.1,0
2021-02-02,1612224000,3.1,3.1,3.1,3.1,0
2021-02-03,1612310400,2.8,2.8,2.8,2.8,3400
2021-02-04,1612396800,2.7,2.7,2.6,2.6,18810
2021-02-05,1612483200,2.7,2.8,2.7,2.8,17500
2021-02-08,1612742400,2.9,2.9,2.9,2.9,100
2021-02-09,1612828800,2.9,2.9,2.7,2.7,300
2021-02-17,1613520000,2.7,2.8,2.5,2.8,37300
2021-02-18,1613606400,2.8,3.0,2.8,3.0,6900
2021-02-19,1613692800,3.1,3.3,3.1,3.3,45700
2021-02-22,1613952000,3.3,3.3,3.3,3.3,3801
2021-02-24,1614124800,3.7,3.9,3.7,3.9,600
2021-02-26,1614297600,3.8,3.8,3.6,3.6,2200
2021-03-01,1614556800,3.9,3.9,3.9,3.9,103
2021-03-02,1614643200,3.9,4.1,3.9,4.1,8376
2021-03-03,1614729600,4.5,4.5,4.5,4.5,35901
2021-03-04,1614816000,4.9,4.9,4.9,4.9,27700
2021-03-05,1614902400,5.3,5.3,5.3,5.3,18700
2021-03-08,1615161600,5.8,5.8,5.8,5.8,25379
2021-03-09,1615248000,6.3,6.3,6.3,6.3,34400
2021-03-10,1615334400,6.9,6.9,6.8,6.9,94800
2021-03-11,1615420800,7.5,7.5,7.4,7.5,56300
2021-03-12,1615507200,6.9,8.0,6.9,7.5,32600
2021-03-15,1615766400,6.9,7.4,6.9,7.2,27250
2021-03-16,1615852800,7.1,7.2,7.1,7.2,7400
2021-03-17,1615939200,7.2,7.3,7.2,7.3,11700
