date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,3.575,3.575,3.575,3.575,200
2021-01-05,1609804800,4.058,4.058,3.768,3.968,1600
2021-01-06,1609891200,3.962,3.962,3.962,3.962,0
2021-01-07,1609977600,3.962,3.962,3.962,3.962,0
2021-01-08,1610064000,3.962,3.962,3.962,3.962,0
2021-01-11,1610323200,3.479,4.542,3.479,3.655,600
2021-01-12,1610409600,3.189,4.155,3.189,3.833,300
2021-01-13,1610496000,4.445,4.445,4.445,4.445,200
2021-01-14,1610582400,3.865,5.025,3.865,4.807,1600
2021-01-15,1610668800,5.508,5.508,5.508,5.508,300
2021-01-18,1610928000,4.735,6.184,4.735,5.789,1100
2021-01-19,1611014400,5.798,5.798,5.798,5.798,2100
2021-01-20,1611100800,5.121,5.121,5.121,5.121,200
2021-01-21,1611187200,5.025,5.025,5.025,5.025,1400
2021-01-22,1611273600,5.025,5.025,5.025,5.025,0
2021-01-25,1611532800,4.832,4.832,4.832,4.832,100
2021-01-26,1611619200,5.025,5.508,5.025,5.205,9000
2021-01-27,1611705600,5.895,5.895,5.315,5.605,200
2021-01-28,1611792000,5.121,5.121,5.025,5.109,2300
2021-01-29,1611878400,5.218,5.218,5.218,5.218,100
2021-02-01,1612137600,5.025,5.025,5.025,5.025,100
2021-02-02,1612224000,4.928,4.928,4.928,4.928,100
2021-02-03,1612310400,4.348,4.348,4.348,4.348,500
2021-02-04,1612396800,4.348,4.348,4.348,4.348,0
2021-02-05,1612483200,4.928,4.928,4.928,4.928,100
2021-02-08,1612742400,4.928,4.928,4.928,4.928,0
2021-02-09,1612828800,5.605,5.605,5.121,5.443,1500
2021-02-17,1613520000,5.411,5.411,5.411,5.411,0
2021-02-18,1613606400,5.411,5.411,5.411,5.411,0
2021-02-19,1613692800,4.735,4.735,4.735,4.735,300
2021-02-22,1613952000,4.735,4.735,4.735,4.735,0
2021-02-23,1614038400,5.411,5.411,5.411,5.411,100
2021-02-24,1614124800,5.411,5.411,5.411,5.411,0
2021-02-25,1614211200,5.121,5.121,5.121,5.121,100
2021-02-26,1614297600,5.121,5.121,5.121,5.121,0
2021-03-01,1614556800,5.315,5.315,5.315,5.315,100
2021-03-02,1614643200,5.315,5.315,5.315,5.315,600
2021-03-03,1614729600,5.315,5.315,5.315,5.315,0
2021-03-04,1614816000,5.315,5.315,5.315,5.315,0
2021-03-05,1614902400,5.315,5.315,5.315,5.315,0
2021-03-08,1615161600,5.411,5.411,5.411,5.411,500
2021-03-09,1615248000,5.411,5.411,5.411,5.411,0
2021-03-10,1615334400,4.735,4.735,4.735,4.735,1000
2021-03-11,1615420800,5.411,5.411,4.832,5.227,6900
2021-03-12,1615507200,4.928,4.928,4.928,4.928,100
2021-03-15,1615766400,4.445,4.832,4.445,4.6,5000
2021-03-16,1615852800,4.638,4.638,4.638,4.638,0
2021-03-17,1615939200,5.315,5.315,5.315,5.315,100
