date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,1.6,1.6,1.6,1.6,0
2021-01-05,1609804800,1.6,1.6,1.6,1.6,0
2021-01-06,1609891200,1.6,1.6,1.6,1.6,0
2021-01-07,1609977600,1.6,1.6,1.6,1.6,0
2021-01-08,1610064000,1.6,1.8,1.6,1.8,359423
2021-01-11,1610323200,1.8,1.8,1.8,1.8,0
2021-01-12,1610409600,1.8,1.8,1.8,1.8,0
2021-01-13,1610496000,1.8,1.8,1.8,1.8,0
2021-01-14,1610582400,1.8,1.8,1.8,1.8,0
2021-01-15,1610668800,2.0,2.0,2.0,2.0,97820
2021-01-18,1610928000,2.0,2.0,2.0,2.0,0
2021-01-19,1611014400,2.0,2.0,2.0,2.0,0
2021-01-20,1611100800,2.0,2.0,2.0,2.0,0
2021-01-21,1611187200,2.0,2.0,2.0,2.0,0
2021-01-22,1611273600,2.3,2.3,2.2,2.3,934821
2021-01-25,1611532800,2.3,2.3,2.3,2.3,0
2021-01-26,1611619200,2.3,2.3,2.3,2.3,0
2021-01-27,1611705600,2.3,2.3,2.3,2.3,0
2021-01-28,1611792000,2.3,2.3,2.3,2.3,0
2021-01-29,1611878400,2.0,2.3,2.0,2.2,922773
2021-02-01,1612137600,2.1,2.1,2.1,2.1,0
2021-02-02,1612224000,2.1,2.1,2.1,2.1,0
2021-02-03,1612310400,2.1,2.1,2.1,2.1,0
2021-02-04,1612396800,2.1,2.1,2.1,2.1,0
2021-02-05,1612483200,2.1,2.2,1.8,1.836,604730
2021-02-08,1612742400,1.8,1.8,1.8,1.8,0
2021-02-09,1612828800,1.8,1.8,1.8,1.8,0
2021-02-18,1613606400,1.8,1.8,1.8,1.8,0
2021-02-19,1613692800,2.0,2.0,1.8,1.891,541042
2021-02-22,1613952000,1.9,1.9,1.9,1.9,0
2021-02-23,1614038400,1.9,1.9,1.9,1.9,0
2021-02-24,1614124800,1.9,1.9,1.9,1.9,0
2021-02-25,1614211200,1.9,1.9,1.9,1.9,0
2021-02-26,1614297600,2.1,2.1,2.0,2.071,1052528
2021-03-01,1614556800,2.1,2.1,2.1,2.1,0
2021-03-02,1614643200,2.1,2.1,2.1,2.1,0
2021-03-03,1614729600,2.1,2.1,2.1,2.1,0
2021-03-04,1614816000,2.1,2.1,2.1,2.1,0
2021-03-05,1614902400,2.4,2.4,2.3,2.4,3322856
2021-03-08,1615161600,2.4,2.4,2.4,2.4,0
2021-03-09,1615248000,2.4,2.4,2.4,2.4,0
2021-03-10,1615334400,2.4,2.4,2.4,2.4,0
2021-03-11,1615420800,2.4,2.4,2.4,2.4,0
2021-03-12,1615507200,2.4,2.7,2.1,2.635,2881080
2021-03-15,1615766400,2.6,2.6,2.6,2.6,0
2021-03-16,1615852800,2.6,2.6,2.6,2.6,0
2021-03-17,1615939200,2.6,2.6,2.6,2.6,0
2021-03-18,1616025600,2.6,2.6,2.6,2.6,0
2021-03-19,1616112000,2.7,2.9,2.7,2.872,1828800
2021-03-22,1616371200,2.9,2.9,2.9,2.9,0
2021-03-23,1616457600,2.9,2.9,2.9,2.9,0
2021-03-24,1616544000,2.9,2.9,2.9,2.9,0
2021-03-25,1616630400,2.9,2.9,2.9,2.9,0
2021-03-26,1616716800,2.9,3.3,2.6,2.914,3191963
2021-03-29,1616976000,2.9,2.9,2.9,2.9,0
2021-03-30,1617062400,2.9,2.9,2.9,2.9,0
2021-03-31,1617148800,2.9,2.9,2.9,2.9,0
2021-04-01,1617235200,2.9,2.9,2.9,2.9,0
2021-04-02,1617321600,3.1,3.1,2.7,2.854,961003
2021-04-05,1617580800,2.9,2.9,2.9,2.9,0
2021-04-06,1617667200,2.9,2.9,2.9,2.9,0
2021-04-07,1617753600,2.9,2.9,2.9,2.9,0
2021-04-08,1617840000,2.9,2.9,2.9,2.9,0
2021-04-09,1617926400,2.9,3.1,2.6,2.791,3611281
2021-04-12,1618185600,2.8,2.8,2.8,2.8,0
2021-04-13,1618272000,2.8,2.8,2.8,2.8,0
2021-04-14,1618358400,2.8,2.8,2.8,2.8,0
2021-04-15,1618444800,2.8,2.8,2.8,2.8,0
2021-04-16,1618531200,2.8,3.2,2.8,3.165,1810169
2021-04-19,1618790400,3.2,3.2,3.2,3.2,0
2021-04-20,1618876800,3.2,3.2,3.2,3.2,0
2021-04-22,1619049600,3.2,3.2,3.2,3.2,0
2021-04-23,1619136000,3.3,3.6,3.3,3.499,5201281
2021-04-26,1619395200,3.5,3.5,3.5,3.5,0
2021-04-27,1619481600,3.5,3.5,3.5,3.5,0
2021-04-28,1619568000,3.5,3.5,3.5,3.5,0
2021-04-29,1619654400,3.5,3.5,3.5,3.5,0
2021-05-04,1620086400,3.5,3.5,3.5,3.5,0
2021-05-05,1620172800,3.5,3.5,3.5,3.5,0
2021-05-06,1620259200,3.5,3.5,3.5,3.5,0
2021-05-07,1620345600,3.5,3.9,3.1,3.504,1309739
2021-05-10,1620604800,3.5,3.5,3.5,3.5,0
2021-05-11,1620691200,3.5,3.5,3.5,3.5,0
2021-05-12,1620777600,3.5,3.5,3.5,3.5,0
2021-05-13,1620864000,3.5,3.5,3.5,3.5,0
2021-05-14,1620950400,3.4,4.0,3.2,3.953,2752570
2021-05-17,1621209600,4.0,4.0,4.0,4.0,0
2021-05-18,1621296000,4.0,4.0,4.0,4.0,0
2021-05-19,1621382400,4.0,4.0,4.0,4.0,0
2021-05-20,1621468800,4.0,4.0,4.0,4.0,0
2021-05-21,1621555200,3.9,4.6,3.9,4.599,1622281
2021-05-24,1621814400,4.6,4.6,4.6,4.6,0
2021-05-25,1621900800,4.6,4.6,4.6,4.6,0
2021-05-26,1621987200,4.6,4.6,4.6,4.6,0
2021-05-27,1622073600,4.6,4.6,4.6,4.6,0
2021-05-28,1622160000,4.1,5.2,4.1,5.199,133549
2021-05-31,1622419200,5.2,5.2,5.2,5.2,0
2021-06-01,1622505600,5.2,5.2,5.2,5.2,0
2021-06-02,1622592000,5.2,5.2,5.2,5.2,0
2021-06-03,1622678400,5.2,5.2,5.2,5.2,0
2021-06-04,1622764800,5.9,5.9,5.9,5.9,549940
2021-06-07,1623024000,5.9,5.9,5.9,5.9,0
2021-06-08,1623110400,5.9,5.9,5.9,5.9,0
2021-06-09,1623196800,5.9,5.9,5.9,5.9,0
2021-06-10,1623283200,5.9,5.9,5.9,5.9,0
2021-06-11,1623369600,6.7,6.7,6.7,6.7,122549
2021-06-14,1623628800,6.7,6.7,6.7,6.7,0
2021-06-15,1623715200,6.7,6.7,6.7,6.7,0
2021-06-16,1623801600,6.7,6.7,6.7,6.7,0
2021-06-17,1623888000,6.7,6.7,6.7,6.7,0
2021-06-18,1623974400,7.7,7.7,7.7,7.7,527847
2021-06-21,1624233600,7.7,7.7,7.7,7.7,0
2021-06-22,1624320000,7.7,7.7,7.7,7.7,0
2021-06-23,1624406400,7.7,7.7,7.7,7.7,0
2021-06-24,1624492800,7.7,7.7,7.7,7.7,0
2021-06-25,1624579200,8.8,8.8,8.8,8.8,216270
2021-06-28,1624838400,8.8,8.8,8.8,8.8,0
2021-06-29,1624924800,8.8,8.8,8.8,8.8,0
2021-06-30,1625011200,8.8,8.8,8.8,8.8,0
2021-07-01,1625097600,8.8,8.8,8.8,8.8,0
2021-07-02,1625184000,10.1,10.1,10.1,10.1,235778
2021-07-05,1625443200,10.1,10.1,10.1,10.1,0
2021-07-06,1625529600,10.1,10.1,10.1,10.1,0
2021-07-07,1625616000,10.1,10.1,10.1,10.1,0
2021-07-08,1625702400,10.1,10.1,10.1,10.1,0
2021-07-09,1625788800,11.6,11.6,8.6,10.826,3129378
2021-07-12,1626048000,10.8,10.8,10.8,10.8,0
2021-07-13,1626134400,10.8,10.8,10.8,10.8,0
2021-07-14,1626220800,10.8,10.8,10.8,10.8,0
2021-07-15,1626307200,10.8,10.8,10.8,10.8,0
2021-07-16,1626393600,11.6,12.3,9.2,9.317,611472
2021-07-19,1626652800,9.3,9.3,9.3,9.3,0
2021-07-20,1626739200,9.3,9.3,9.3,9.3,0
2021-07-21,1626825600,9.3,9.3,9.3,9.3,0
2021-07-22,1626912000,9.3,9.3,9.3,9.3,0
2021-07-23,1626998400,10.4,10.6,8.0,9.048,984370
2021-07-26,1627257600,9.0,9.0,9.0,9.0,0
2021-07-27,1627344000,9.0,9.0,9.0,9.0,0
2021-07-28,1627430400,9.0,9.0,9.0,9.0,0
2021-07-29,1627516800,9.0,9.0,9.0,9.0,0
2021-07-30,1627603200,7.8,10.2,7.7,8.608,3186525
2021-08-02,1627862400,8.6,8.6,8.6,8.6,0
2021-08-03,1627948800,8.6,8.6,8.6,8.6,0
2021-08-04,1628035200,8.6,8.6,8.6,8.6,0
2021-08-05,1628121600,8.6,8.6,8.6,8.6,0
2021-08-06,1628208000,8.6,9.1,7.4,7.999,3420015
2021-08-09,1628467200,8.0,8.0,8.0,8.0,0
2021-08-10,1628553600,8.0,8.0,8.0,8.0,0
2021-08-11,1628640000,8.0,8.0,8.0,8.0,0
2021-08-12,1628726400,8.0,8.0,8.0,8.0,0
2021-08-13,1628812800,7.9,8.8,6.8,8.042,3641731
2021-08-16,1629072000,8.0,8.0,8.0,8.0,0
2021-08-17,1629158400,8.0,8.0,8.0,8.0,0
2021-08-18,1629244800,8.0,8.0,8.0,8.0,0
2021-08-19,1629331200,8.0,8.0,8.0,8.0,0
2021-08-20,1629417600,7.5,8.4,6.9,7.794,1628930
2021-08-23,1629676800,7.8,7.8,7.8,7.8,0
2021-08-24,1629763200,7.8,7.8,7.8,7.8,0
2021-08-25,1629849600,7.8,7.8,7.8,7.8,0
2021-08-26,1629936000,7.8,7.8,7.8,7.8,0
2021-08-27,1630022400,7.5,8.9,6.7,8.9,10906446
2021-08-30,1630281600,8.0,8.8,8.0,8.704,606748
2021-08-31,1630368000,10.0,10.0,9.9,9.999,1289282
2021-09-01,1630454400,9.9,11.2,8.6,9.726,2407309
2021-09-06,1630886400,9.7,10.3,9.0,9.822,1641310
2021-09-07,1630972800,9.5,10.1,9.2,9.774,2445191
2021-09-08,1631059200,9.7,9.8,8.4,9.222,2938154
2021-09-09,1631145600,9.2,9.5,8.8,9.263,1820577
2021-09-10,1631232000,9.2,9.4,8.7,9.19,2373035
2021-09-13,1631491200,9.2,9.2,8.0,8.279,2247810
2021-09-14,1631577600,8.5,8.9,8.5,8.662,1053440
2021-09-15,1631664000,9.0,10.0,8.7,9.407,2655174
2021-09-16,1631750400,9.8,9.8,9.0,9.552,1660289
2021-09-17,1631836800,9.4,9.4,8.6,8.893,1061919
2021-09-20,1632096000,8.8,9.2,8.7,9.054,1601500
2021-09-21,1632182400,9.1,9.3,8.6,9.158,3139583
2021-09-22,1632268800,9.3,10.2,9.2,9.523,4936209
2021-09-23,1632355200,10.0,10.7,9.8,10.383,1551644
2021-09-24,1632441600,10.5,11.2,9.9,10.656,1718341
2021-09-27,1632700800,10.4,10.9,9.1,10.044,4189942
2021-09-28,1632787200,10.0,10.0,8.5,9.075,2104730
2021-09-29,1632873600,9.1,9.9,8.7,9.554,829900
2021-09-30,1632960000,9.4,9.7,8.7,9.258,2016834
2021-10-01,1633046400,9.1,9.3,8.7,8.863,550105
2021-10-04,1633305600,9.0,9.1,8.7,8.989,1558509
2021-10-05,1633392000,9.0,9.1,8.6,8.868,1960910
2021-10-06,1633478400,8.9,9.1,8.8,9.039,1425488
2021-10-07,1633564800,9.1,9.4,9.1,9.255,1470324
2021-10-08,1633651200,9.3,9.4,9.0,9.283,992730
2021-10-11,1633910400,9.3,9.3,8.7,8.953,1321059
2021-10-12,1633996800,8.9,9.2,8.6,8.925,1600437
2021-10-13,1634083200,8.6,9.0,8.6,8.79,771816
2021-10-14,1634169600,8.8,8.8,8.5,8.671,1598130
2021-10-15,1634256000,8.9,9.0,8.6,8.821,1597262
2021-10-18,1634515200,9.0,9.0,8.5,8.793,2331300
2021-10-19,1634601600,8.8,9.0,8.6,8.896,2076760
2021-10-20,1634688000,8.9,8.9,8.6,8.66,1069502
2021-10-21,1634774400,8.8,8.8,8.5,8.633,447309
2021-10-22,1634860800,8.7,8.8,8.5,8.666,1983760
2021-10-25,1635120000,8.8,8.8,8.5,8.652,1319694
2021-10-26,1635206400,8.7,8.7,8.4,8.611,1480585
2021-10-27,1635292800,8.6,8.6,7.7,8.369,1898550
2021-10-28,1635379200,8.4,8.5,8.2,8.444,2031800
