date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,10.213,10.213,10.213,10.213,0
2021-01-05,1609804800,10.213,10.213,10.213,10.213,0
2021-01-06,1609891200,10.213,10.213,10.213,10.213,0
2021-01-07,1609977600,10.213,10.213,10.213,10.213,0
2021-01-08,1610064000,10.213,10.213,10.213,10.213,0
2021-01-11,1610323200,10.213,10.213,10.213,10.213,0
2021-01-12,1610409600,10.213,10.213,10.213,10.213,0
2021-01-13,1610496000,11.705,11.705,11.705,11.705,100
2021-01-14,1610582400,11.705,11.705,11.705,11.705,0
2021-01-15,1610668800,11.705,11.705,11.705,11.705,0
2021-01-18,1610928000,11.705,11.705,11.705,11.705,0
2021-01-19,1611014400,11.705,11.705,11.705,11.705,0
2021-01-20,1611100800,11.705,11.705,11.705,11.705,0
2021-01-21,1611187200,11.784,11.784,11.784,11.784,100
2021-01-22,1611273600,11.784,11.784,11.784,11.784,0
2021-01-25,1611532800,11.784,11.784,11.784,11.784,0
2021-01-26,1611619200,11.784,11.784,11.784,11.784,0
2021-01-27,1611705600,12.962,12.962,12.962,12.962,1000
2021-01-28,1611792000,12.962,12.962,12.962,12.962,0
2021-01-29,1611878400,12.962,13.12,12.962,13.011,2900
2021-02-01,1612137600,13.041,13.041,13.041,13.041,0
2021-02-02,1612224000,13.041,13.041,13.041,13.041,0
2021-02-03,1612310400,13.041,13.041,13.041,13.041,0
2021-02-04,1612396800,13.041,13.041,13.041,13.041,0
2021-02-05,1612483200,13.512,13.512,13.512,13.512,300
2021-02-08,1612742400,13.512,13.512,13.512,13.512,0
2021-02-09,1612828800,12.962,12.962,12.962,12.962,900
2021-02-17,1613520000,13.041,13.041,12.962,12.967,1600
2021-02-18,1613606400,13.041,13.041,12.962,13.023,1300
2021-02-19,1613692800,13.041,13.041,13.041,13.041,0
2021-02-22,1613952000,13.041,13.041,13.041,13.041,0
2021-02-23,1614038400,13.041,13.041,13.041,13.041,0
2021-02-24,1614124800,13.041,13.041,13.041,13.041,0
2021-02-25,1614211200,13.041,13.041,13.041,13.041,0
2021-02-26,1614297600,13.041,13.041,13.041,13.041,0
2021-03-01,1614556800,13.041,13.041,13.041,13.041,0
2021-03-02,1614643200,13.041,13.041,13.041,13.041,0
2021-03-03,1614729600,13.041,13.041,13.041,13.041,0
2021-03-04,1614816000,13.041,13.041,13.041,13.041,0
2021-03-05,1614902400,11.234,12.57,11.234,12.506,2100
