date,timestamp,open,high,low,close,volume
2021-01-04,1609718400,9.382,9.476,9.382,9.439,500
2021-01-05,1609804800,10.321,10.321,10.321,10.321,700
2021-01-06,1609891200,10.321,10.321,10.321,10.321,7300
2021-01-07,1609977600,10.321,10.321,10.321,10.321,0
2021-01-08,1610064000,10.224,10.61,10.224,10.508,1800
2021-01-11,1610323200,10.803,10.9,10.803,10.825,8700
2021-01-12,1610409600,10.707,10.707,10.707,10.707,100
2021-01-13,1610496000,10.61,11.285,10.61,10.779,2000
2021-01-14,1610582400,10.61,10.61,10.61,10.61,500
2021-01-15,1610668800,10.61,10.61,10.128,10.244,4600
2021-01-18,1610928000,10.61,10.61,10.61,10.61,100
2021-01-19,1611014400,10.224,10.224,9.646,9.803,6400
2021-01-20,1611100800,9.935,10.031,9.646,9.741,7000
2021-01-21,1611187200,10.031,10.031,10.031,10.031,200
2021-01-22,1611273600,10.61,10.61,9.742,10.068,4500
2021-01-25,1611532800,10.61,10.61,10.61,10.61,6000
2021-01-26,1611619200,10.707,10.707,10.61,10.641,10100
2021-01-27,1611705600,10.996,10.996,10.128,10.713,7100
2021-01-28,1611792000,10.707,10.707,10.707,10.707,0
2021-01-29,1611878400,10.61,10.707,10.61,10.611,14200
2021-02-01,1612137600,10.61,10.61,10.61,10.61,10500
2021-02-02,1612224000,9.839,9.839,9.839,9.839,100
2021-02-03,1612310400,10.224,10.224,10.128,10.189,1600
2021-02-04,1612396800,10.224,10.224,10.224,10.224,0
2021-02-05,1612483200,10.224,10.224,10.224,10.224,0
2021-02-08,1612742400,10.224,10.224,10.224,10.224,0
2021-02-09,1612828800,10.224,10.224,10.224,10.224,0
2021-02-17,1613520000,10.224,10.224,10.224,10.224,0
2021-02-18,1613606400,10.321,10.321,10.224,10.273,2000
2021-02-19,1613692800,10.61,10.61,10.61,10.61,10000
2021-02-22,1613952000,10.61,10.996,10.61,10.632,5300
2021-02-23,1614038400,10.61,10.61,10.61,10.61,0
