date,timestamp,open,high,low,close,volume
2016-01-29,1454025600,6.316,6.316,6.316,6.316,0
2016-02-01,1454284800,6.316,6.316,6.316,6.316,0
2016-02-02,1454371200,6.316,6.316,6.316,6.316,0
2016-02-03,1454457600,6.316,6.316,6.316,6.316,0
2016-02-04,1454544000,6.316,6.316,6.316,6.316,0
2016-02-05,1454630400,6.316,6.316,6.316,6.316,0
2016-02-15,1455494400,6.316,6.316,6.316,6.316,0
2016-02-16,1455580800,6.316,6.316,6.316,6.316,0
2016-02-17,1455667200,6.316,6.316,6.316,6.316,0
2016-02-18,1455753600,6.316,6.316,6.316,6.316,0
2016-02-19,1455840000,6.316,6.316,6.316,6.316,0
2016-02-22,1456099200,6.316,6.316,6.316,6.316,0
2016-02-23,1456185600,6.316,6.316,6.316,6.316,0
2016-02-24,1456272000,6.316,6.316,6.316,6.316,0
2016-02-25,1456358400,6.316,6.316,6.316,6.316,0
2016-02-26,1456444800,6.316,6.316,6.316,6.316,0
2016-02-29,1456704000,6.316,6.316,6.316,6.316,0
2016-03-01,1456790400,6.316,6.316,6.316,6.316,0
2016-03-02,1456876800,6.316,6.316,6.316,6.316,0
2016-03-03,1456963200,6.316,6.316,6.316,6.316,0
2016-03-04,1457049600,6.316,6.316,6.316,6.316,0
2016-03-07,1457308800,6.316,6.316,6.316,6.316,0
2016-03-08,1457395200,6.316,6.316,6.316,6.316,0
2016-03-09,1457481600,8.563,8.563,8.563,8.563,100
2016-03-10,1457568000,7.28,7.28,7.28,7.28,200
2016-03-11,1457654400,7.28,7.28,7.28,7.28,0
2016-03-14,1457913600,7.28,7.28,7.28,7.28,0
2016-03-15,1458000000,7.28,7.28,7.28,7.28,0
2016-03-16,1458086400,7.28,7.28,7.28,7.28,0
2016-03-17,1458172800,7.28,7.28,7.28,7.28,0
2016-03-18,1458259200,7.28,7.28,7.28,7.28,0
2016-03-21,1458518400,6.208,6.208,6.208,6.208,100
2016-03-22,1458604800,6.208,6.208,6.208,6.208,0
2016-03-23,1458691200,6.208,6.208,6.208,6.208,0
2016-03-24,1458777600,6.208,6.208,6.208,6.208,0
2016-03-25,1458864000,6.208,6.208,6.208,6.208,0
2016-03-28,1459123200,6.208,6.208,6.208,6.208,0
2016-03-29,1459209600,6.208,6.208,6.208,6.208,0
2016-03-30,1459296000,6.208,6.208,6.208,6.208,0
2016-03-31,1459382400,6.208,6.208,6.208,6.208,0
2016-04-01,1459468800,6.208,6.208,6.208,6.208,0
2016-04-04,1459728000,6.208,6.208,6.208,6.208,0
2016-04-05,1459814400,6.208,6.208,6.208,6.208,0
2016-04-06,1459900800,6.208,6.208,6.208,6.208,0
2016-04-07,1459987200,6.208,6.208,6.208,6.208,0
2016-04-08,1460073600,6.208,6.208,6.208,6.208,0
