date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,4.114,4.114,4.114,4.114,0
2016-01-05,1451952000,3.995,4.114,3.995,4.114,2400
2016-01-06,1452038400,4.114,4.171,4.114,4.114,1860
2016-01-07,1452124800,4.054,4.114,3.995,4.114,1020
2016-01-08,1452211200,4.054,4.114,4.054,4.114,60
2016-01-11,1452470400,3.995,3.995,3.995,3.995,50
2016-01-12,1452556800,4.114,4.114,4.114,4.114,10
2016-01-13,1452643200,4.114,4.114,4.114,4.114,30
2016-01-14,1452729600,4.114,4.114,4.114,4.114,30
2016-01-15,1452816000,4.054,4.054,3.937,3.937,670
2016-01-18,1453075200,3.937,4.114,3.819,3.819,320
2016-01-19,1453161600,4.054,4.054,3.995,3.995,31890
2016-01-20,1453248000,4.054,4.114,3.995,4.054,4330
2016-01-21,1453334400,3.819,4.054,3.819,4.054,47710
2016-01-22,1453420800,3.995,3.995,3.819,3.819,55640
2016-01-25,1453680000,3.819,3.937,3.584,3.877,2350
2016-01-26,1453766400,3.877,3.877,3.76,3.877,570
2016-01-27,1453852800,3.819,3.995,3.819,3.995,4290
2016-01-28,1453939200,3.937,3.937,3.877,3.937,30
2016-01-29,1454025600,3.877,3.937,3.877,3.937,60
2016-02-01,1454284800,3.877,3.877,3.819,3.819,8140
2016-02-02,1454371200,3.877,3.937,3.819,3.937,80
2016-02-03,1454457600,3.937,3.995,3.937,3.937,220
2016-02-04,1454544000,3.995,3.995,3.937,3.937,140
2016-02-05,1454630400,3.995,4.054,3.819,3.995,2160
2016-02-15,1455494400,4.054,4.054,4.054,4.054,30
2016-02-16,1455580800,3.937,4.054,3.877,4.054,40
2016-02-17,1455667200,3.995,4.054,3.937,4.054,60
2016-02-18,1455753600,4.114,4.114,4.114,4.114,10
2016-02-19,1455840000,4.114,4.171,4.114,4.171,1670
2016-02-22,1456099200,4.171,4.231,4.114,4.231,1770
2016-02-23,1456185600,4.231,4.231,4.054,4.054,290
2016-02-24,1456272000,4.171,4.231,4.114,4.114,2170
2016-02-25,1456358400,4.231,4.231,4.114,4.171,2070
2016-02-26,1456444800,4.114,4.171,3.995,4.114,11480
2016-02-29,1456704000,4.054,4.054,4.054,4.054,510
2016-03-01,1456790400,3.995,4.054,3.995,4.054,210
2016-03-02,1456876800,4.054,4.114,4.054,4.054,610
2016-03-03,1456963200,3.995,4.114,3.995,4.114,110
2016-03-04,1457049600,4.114,4.114,4.114,4.114,0
2016-03-07,1457308800,3.937,4.114,3.937,4.114,890
2016-03-08,1457395200,3.995,3.995,3.995,3.995,10
2016-03-09,1457481600,3.937,4.114,3.937,4.114,5080
2016-03-10,1457568000,4.054,4.114,3.995,4.114,3290
2016-03-11,1457654400,4.114,4.231,3.995,4.114,8240
2016-03-14,1457913600,4.054,4.114,4.054,4.114,26680
2016-03-15,1458000000,4.114,4.114,4.114,4.114,5030
2016-03-16,1458086400,4.054,4.114,3.995,4.114,7030
2016-03-17,1458172800,4.114,4.114,4.114,4.114,6080
2016-03-18,1458259200,4.114,4.114,4.114,4.114,10
2016-03-21,1458518400,4.054,4.114,4.054,4.114,3010
2016-03-22,1458604800,4.054,4.114,4.054,4.114,720
2016-03-23,1458691200,4.054,4.114,4.054,4.114,3060
2016-03-24,1458777600,4.114,4.171,4.114,4.171,45130
2016-03-25,1458864000,4.171,4.407,4.171,4.348,121630
2016-03-28,1459123200,4.466,4.466,4.348,4.348,18300
2016-03-29,1459209600,4.348,4.466,4.348,4.466,8780
2016-03-30,1459296000,4.348,4.466,4.231,4.407,10640
2016-03-31,1459382400,4.348,4.407,4.289,4.407,2650
2016-04-01,1459468800,4.231,4.407,4.231,4.289,3170
2016-04-04,1459728000,4.289,4.289,4.231,4.289,11510
2016-04-05,1459814400,4.289,4.466,4.171,4.289,8590
2016-04-06,1459900800,4.289,4.348,4.171,4.289,7790
2016-04-07,1459987200,4.289,4.348,4.171,4.171,3730
2016-04-08,1460073600,4.171,4.231,4.171,4.231,4100
2016-04-11,1460332800,4.289,4.348,4.289,4.289,6000
2016-04-12,1460419200,4.289,4.348,4.231,4.231,4040
2016-04-13,1460505600,4.348,4.348,4.231,4.231,7180
2016-04-14,1460592000,4.231,4.348,4.231,4.289,2640
2016-04-15,1460678400,4.231,4.348,4.231,4.231,12750
2016-04-19,1461024000,4.231,4.231,4.171,4.231,9310
2016-04-20,1461110400,4.231,4.407,4.231,4.231,12600
2016-04-21,1461196800,4.289,4.289,4.231,4.289,35070
2016-04-22,1461283200,4.289,4.466,4.289,4.466,76780
2016-04-25,1461542400,4.583,4.701,4.524,4.583,38790
2016-04-26,1461628800,4.524,4.524,4.407,4.407,10300
2016-04-27,1461715200,4.348,4.407,4.348,4.348,15840
2016-04-28,1461801600,4.289,4.289,4.231,4.289,25020
2016-04-29,1461888000,4.231,4.348,4.171,4.348,290
2016-05-04,1462320000,4.348,4.348,4.231,4.348,10460
2016-05-05,1462406400,4.348,4.407,4.231,4.231,39570
2016-05-06,1462492800,4.289,4.289,4.114,4.231,53410
2016-05-09,1462752000,4.171,4.231,4.114,4.231,19100
2016-05-10,1462838400,4.171,4.231,4.171,4.231,80
2016-05-11,1462924800,4.231,4.231,4.171,4.171,6480
2016-05-12,1463011200,4.171,4.231,4.171,4.231,14710
2016-05-13,1463097600,4.231,4.466,4.171,4.231,16760
2016-05-16,1463356800,4.171,4.231,4.171,4.231,92590
2016-05-17,1463443200,4.231,4.231,4.171,4.231,55290
2016-05-18,1463529600,4.171,4.231,4.171,4.231,95690
2016-05-19,1463616000,4.171,4.231,4.171,4.231,28250
2016-05-20,1463702400,4.171,4.231,4.114,4.114,48540
2016-05-23,1463961600,4.114,4.171,4.114,4.171,3350
2016-05-24,1464048000,4.171,4.231,4.171,4.231,32570
2016-05-25,1464134400,4.171,4.231,4.171,4.231,4910
2016-05-26,1464220800,4.231,4.231,4.231,4.231,1000
2016-05-27,1464307200,4.171,4.231,4.171,4.231,8800
2016-05-30,1464566400,4.231,4.231,4.231,4.231,0
2016-05-31,1464652800,4.171,4.171,4.171,4.171,33030
2016-06-01,1464739200,4.231,4.231,4.171,4.231,1420
2016-06-02,1464825600,4.231,4.231,4.231,4.231,0
2016-06-03,1464912000,4.171,4.289,4.171,4.289,6960
2016-06-06,1465171200,4.289,4.289,4.231,4.289,300
2016-06-07,1465257600,4.231,4.231,4.171,4.171,4240
2016-06-08,1465344000,4.171,4.171,4.171,4.171,69000
2016-06-09,1465430400,4.231,4.348,4.171,4.289,9940
2016-06-10,1465516800,4.289,4.407,4.289,4.348,18000
2016-06-13,1465776000,4.289,4.348,4.289,4.348,310
2016-06-14,1465862400,4.407,4.407,4.171,4.171,10530
2016-06-15,1465948800,4.289,4.289,4.231,4.231,1010
2016-06-16,1466035200,4.231,4.407,4.231,4.407,38010
2016-06-17,1466121600,4.348,4.407,4.289,4.407,60910
2016-06-20,1466380800,4.348,4.348,4.289,4.348,17960
2016-06-21,1466467200,4.348,4.642,4.348,4.642,95100
2016-06-22,1466553600,4.583,4.936,4.583,4.877,45240
2016-06-23,1466640000,4.817,4.877,4.642,4.877,81100
2016-06-24,1466726400,4.642,4.759,4.583,4.759,16010
2016-06-27,1466985600,4.759,4.759,4.583,4.701,2040
2016-06-28,1467072000,4.583,4.701,4.583,4.701,220
2016-06-29,1467158400,4.701,4.817,4.701,4.817,20660
2016-06-30,1467244800,4.701,4.701,4.524,4.524,49610
2016-07-01,1467331200,4.524,4.642,4.524,4.642,750
2016-07-04,1467590400,4.642,4.701,4.642,4.701,23840
2016-07-05,1467676800,4.642,4.817,4.642,4.701,18190
2016-07-06,1467763200,4.701,4.877,4.701,4.817,14080
2016-07-07,1467849600,4.817,4.817,4.701,4.817,21920
2016-07-08,1467936000,4.759,4.877,4.701,4.701,45840
2016-07-11,1468195200,4.701,4.817,4.701,4.817,57830
2016-07-12,1468281600,4.817,4.877,4.701,4.701,21590
2016-07-13,1468368000,4.817,4.817,4.701,4.701,3460
2016-07-14,1468454400,4.759,4.817,4.759,4.759,24510
2016-07-15,1468540800,4.817,4.877,4.759,4.877,133140
2016-07-18,1468800000,4.936,4.936,4.877,4.936,9450
2016-07-19,1468886400,4.936,4.995,4.936,4.995,1100
2016-07-20,1468972800,4.995,4.995,4.759,4.936,19020
2016-07-21,1469059200,4.877,4.995,4.877,4.936,19520
2016-07-22,1469145600,4.817,4.817,4.817,4.817,600
2016-07-25,1469404800,4.817,4.936,4.817,4.936,4640
2016-07-26,1469491200,4.817,4.936,4.817,4.936,3380
2016-07-27,1469577600,5.17,5.17,4.995,5.053,11270
2016-07-28,1469664000,5.111,5.111,4.995,4.995,700
2016-07-29,1469750400,5.053,5.053,4.877,4.936,7450
2016-08-01,1470009600,4.759,4.936,4.759,4.936,7610
2016-08-02,1470096000,4.817,4.877,4.817,4.877,28100
2016-08-03,1470182400,4.759,4.817,4.759,4.817,9390
2016-08-04,1470268800,4.877,4.877,4.877,4.877,10
2016-08-05,1470355200,4.817,4.817,4.817,4.817,30
2016-08-08,1470614400,4.817,4.877,4.817,4.877,16120
2016-08-09,1470700800,4.759,4.877,4.759,4.877,5510
2016-08-10,1470787200,4.817,4.877,4.817,4.877,13870
2016-08-11,1470873600,4.936,4.936,4.936,4.936,150
2016-08-12,1470960000,4.877,4.877,4.817,4.817,9190
2016-08-15,1471219200,4.817,4.877,4.817,4.877,1010
2016-08-16,1471305600,4.817,4.877,4.817,4.877,9100
2016-08-17,1471392000,4.817,4.817,4.817,4.817,12200
2016-08-18,1471478400,4.936,4.936,4.936,4.936,10
2016-08-19,1471564800,4.817,4.877,4.817,4.817,23810
2016-08-22,1471824000,4.817,4.817,4.817,4.817,18310
2016-08-23,1471910400,4.817,4.817,4.817,4.817,14800
2016-08-24,1471996800,4.817,4.877,4.817,4.817,12580
2016-08-25,1472083200,4.817,4.936,4.817,4.936,160
2016-08-26,1472169600,4.995,4.995,4.995,4.995,70
2016-08-29,1472428800,4.877,4.936,4.877,4.936,3010
2016-08-30,1472515200,4.877,4.877,4.877,4.877,160
2016-08-31,1472601600,5.053,5.053,4.817,4.817,20
2016-09-01,1472688000,4.877,4.877,4.817,4.817,2800
2016-09-05,1473033600,4.936,4.936,4.817,4.817,40
2016-09-06,1473120000,4.817,4.877,4.817,4.877,1090
2016-09-07,1473206400,4.936,4.936,4.936,4.936,10
2016-09-08,1473292800,4.936,4.936,4.817,4.817,20
2016-09-09,1473379200,4.877,4.877,4.877,4.877,10
2016-09-12,1473638400,4.817,4.817,4.817,4.817,5500
2016-09-13,1473724800,4.877,4.877,4.877,4.877,20
2016-09-14,1473811200,4.817,4.824,4.817,4.817,10490
2016-09-15,1473897600,4.817,4.995,4.817,4.995,2540
2016-09-16,1473984000,4.995,4.995,4.995,4.995,0
2016-09-19,1474243200,4.817,4.824,4.817,4.824,1790
2016-09-20,1474329600,4.824,4.824,4.824,4.824,1280
2016-09-21,1474416000,4.824,4.824,4.824,4.824,0
2016-09-22,1474502400,4.936,4.936,4.83,4.83,10200
2016-09-23,1474588800,4.83,4.936,4.759,4.936,1110
2016-09-26,1474848000,4.817,4.936,4.817,4.936,270
2016-09-27,1474934400,4.817,4.83,4.817,4.83,2200
2016-09-28,1475020800,4.817,4.836,4.817,4.836,4030
2016-09-29,1475107200,4.877,4.877,4.877,4.877,200
2016-09-30,1475193600,4.847,4.877,4.847,4.877,100
2016-10-03,1475452800,4.877,4.877,4.877,4.877,0
2016-10-04,1475539200,4.83,4.83,4.83,4.83,110
2016-10-05,1475625600,4.83,4.83,4.83,4.83,280
2016-10-06,1475712000,4.83,4.877,4.83,4.877,8000
2016-10-07,1475798400,4.995,4.995,4.877,4.877,6940
2016-10-10,1476057600,4.877,4.877,4.877,4.877,20
2016-10-11,1476144000,4.877,4.877,4.877,4.877,2390
2016-10-12,1476230400,4.965,4.965,4.965,4.965,1000
2016-10-13,1476316800,4.847,4.936,4.847,4.936,40
2016-10-14,1476403200,4.847,4.959,4.847,4.959,510
2016-10-17,1476662400,4.877,4.965,4.877,4.965,310
2016-10-18,1476748800,4.965,4.965,4.965,4.965,0
2016-10-19,1476835200,4.877,4.936,4.877,4.936,1450
2016-10-20,1476921600,4.936,4.942,4.936,4.942,11090
2016-10-21,1477008000,4.995,5.048,4.942,4.947,4540
