date,timestamp,open,high,low,close,volume
2016-01-04,1451865600,9.5,10.0,9.3,9.8,299100
2016-01-05,1451952000,9.6,9.8,9.6,9.8,247970
2016-01-06,1452038400,9.7,9.9,9.7,9.9,249938
2016-01-07,1452124800,9.8,9.8,9.4,9.7,333820
2016-01-08,1452211200,9.6,9.8,9.5,9.7,136700
2016-01-11,1452470400,9.5,10.1,9.5,10.1,437650
2016-01-12,1452556800,10.0,10.3,10.0,10.1,422810
2016-01-13,1452643200,10.1,10.4,10.1,10.4,481622
2016-01-14,1452729600,10.4,10.5,10.1,10.4,572708
2016-01-15,1452816000,10.3,10.5,10.2,10.2,277900
2016-01-18,1453075200,10.1,10.2,9.8,10.2,534500
2016-01-19,1453161600,10.0,10.3,10.0,10.3,587210
2016-01-20,1453248000,10.1,10.4,10.1,10.2,463000
2016-01-21,1453334400,10.1,10.3,10.1,10.3,589500
2016-01-22,1453420800,10.3,10.4,10.2,10.4,217100
2016-01-25,1453680000,10.4,11.3,10.4,11.3,689260
2016-01-26,1453766400,11.2,11.2,10.8,11.0,281400
2016-01-27,1453852800,10.9,11.2,10.9,11.1,900000
2016-01-28,1453939200,10.9,11.1,10.8,11.0,1329413
2016-01-29,1454025600,11.0,11.1,10.9,11.0,1114200
2016-02-01,1454284800,11.0,11.0,10.9,10.9,209300
2016-02-02,1454371200,10.8,11.0,10.8,10.9,206800
2016-02-03,1454457600,10.8,11.0,10.8,11.0,243200
2016-02-04,1454544000,10.9,11.1,10.9,11.0,214610
2016-02-05,1454630400,10.9,11.1,10.9,11.1,215800
2016-02-15,1455494400,11.2,11.2,10.9,11.2,170900
2016-02-16,1455580800,11.1,11.3,11.1,11.2,401110
2016-02-17,1455667200,11.1,11.2,10.9,10.9,457207
2016-02-18,1455753600,11.0,11.0,10.5,10.9,786600
2016-02-19,1455840000,10.8,10.8,10.6,10.6,248300
2016-02-22,1456099200,10.6,10.6,9.6,9.9,672000
2016-02-23,1456185600,9.9,10.8,9.6,10.8,1101560
2016-02-24,1456272000,10.6,11.1,10.6,11.0,763000
2016-02-25,1456358400,11.0,11.0,10.7,10.9,633700
2016-02-26,1456444800,10.8,11.4,10.7,11.4,568180
2016-02-29,1456704000,11.3,11.4,11.2,11.3,236100
2016-03-01,1456790400,11.2,11.5,11.2,11.3,288600
2016-03-02,1456876800,11.2,11.4,11.2,11.4,294330
2016-03-03,1456963200,11.3,11.4,11.1,11.3,248400
2016-03-04,1457049600,11.2,11.4,11.2,11.4,231900
2016-03-07,1457308800,11.4,11.7,11.3,11.6,472000
2016-03-08,1457395200,11.7,11.7,11.4,11.6,490010
2016-03-09,1457481600,11.5,11.9,11.4,11.8,522910
2016-03-10,1457568000,11.7,11.9,11.7,11.8,123840
2016-03-11,1457654400,11.7,11.9,11.6,11.8,280750
2016-03-14,1457913600,11.7,12.2,11.6,12.2,473990
2016-03-15,1458000000,12.1,12.2,12.0,12.2,257480
2016-03-16,1458086400,12.1,12.4,12.1,12.3,302000
2016-03-17,1458172800,12.2,12.4,12.1,12.3,343870
2016-03-18,1458259200,12.2,12.3,12.2,12.2,449642
2016-03-21,1458518400,12.1,13.1,12.1,13.0,654350
2016-03-22,1458604800,13.0,13.2,12.9,13.2,356200
2016-03-23,1458691200,13.3,13.4,13.0,13.3,605702
2016-03-24,1458777600,13.3,13.3,13.1,13.3,347600
2016-03-25,1458864000,13.2,13.2,13.0,13.1,434400
2016-03-28,1459123200,13.0,13.3,13.0,13.3,658780
2016-03-29,1459209600,13.2,13.4,13.1,13.3,959520
2016-03-30,1459296000,13.2,13.5,13.2,13.4,872100
2016-03-31,1459382400,13.3,13.3,13.2,13.2,234200
2016-04-01,1459468800,13.2,13.3,13.1,13.2,210246
2016-04-04,1459728000,13.1,13.2,13.0,13.0,298700
2016-04-05,1459814400,13.0,13.0,13.0,13.0,241700
2016-04-06,1459900800,13.0,13.1,13.0,13.0,301300
2016-04-07,1459987200,12.9,13.1,12.9,13.0,220900
2016-04-08,1460073600,13.0,13.1,12.8,13.0,211700
2016-04-11,1460332800,12.9,13.4,12.9,13.4,461740
2016-04-12,1460419200,13.4,13.4,13.2,13.2,265600
2016-04-13,1460505600,13.1,13.2,13.0,13.0,492100
2016-04-14,1460592000,13.0,13.2,12.9,13.2,263300
2016-04-15,1460678400,13.1,13.2,13.0,13.1,202414
2016-04-19,1461024000,13.1,13.2,12.9,13.2,464966
2016-04-20,1461110400,13.0,13.1,13.0,13.1,226100
2016-04-21,1461196800,13.0,13.8,13.0,13.8,680300
2016-04-22,1461283200,13.8,14.1,13.7,14.1,525800
2016-04-25,1461542400,15.5,15.5,13.8,14.1,257100
2016-04-26,1461628800,13.9,14.0,13.9,13.9,298834
2016-04-27,1461715200,13.8,13.9,13.7,13.9,492000
2016-04-28,1461801600,13.9,14.1,13.8,13.9,598200
2016-04-29,1461888000,13.9,14.0,13.9,13.9,233100
2016-05-04,1462320000,14.2,14.2,13.9,14.0,521830
2016-05-05,1462406400,13.9,14.5,13.9,14.5,757700
2016-05-06,1462492800,14.5,15.0,14.4,14.9,597316
2016-05-09,1462752000,14.9,15.0,14.8,14.8,549200
2016-05-10,1462838400,14.8,14.8,14.7,14.7,221450
2016-05-11,1462924800,14.7,14.8,14.7,14.8,184415
